,Unnamed: 0,id,text,created_at,lang,source,name,screen_name,bio,us_created_at,followers_count,friends_count,statuses_count,favourites_count,country,country_code,locality,region,sub_region,coordinates,gender_pred,gender,text_pp,sentiment
16,16,1613345068722827274,"15 días desde que me cambiaron la mediación a escitalopram, perdí el apetito, me obligo a comer pues ✨mi cuerpo lo necesita✨ termino con atracones porque no logro manejar las cantidades y vomito. Hello TCA my old friend.",2023-01-12T01:20:13+00:00,es,twitter,AldNo mNo mNo mNo mNo matchtchtchtchtchnNo mNo mNo mNo mNo matchtchtchtchtch,@No mNo mNo mNo matchtchtchtchldNo mNo mNo mNo matchtchtchtchnNo mNo mNo mNo matchtchtchtchrobNo mNo mNo mNo matchtchtchtchinNo mNo mNo mNo matchtchtchtch,🏀❤️💚 - Lloro con escenas de Naruto.,2013-08-01T22:20:44+00:00,784,325,4362,22482,Uruguay,UY,,,,"-33.0, -56.0",1,Woman,"NUM días desde que me cambiaron la mediación a escitalopram, perdí el apetito, me obligo a comer pues  EMOJI mi cuerpo lo necesita EMOJI  termino con atracones porque no logro manejar las cantidades y vomito. Hello tca my old friend.",negative
17,17,1613344547534417920,Voy a vomitar del cringe basta #Gh2022 #GranHermano,2023-01-12T01:18:09+00:00,es,twitter,LeNo mNo mNo mNo mNo matchtchtchtchtchndroid,@leNo mNo mNo mNo matchtchtchtchndruskis,"Azúcar, flores🌻🌹🌷, y muchos colores🌈 Y una sobredosis de sustancia X",2010-01-25T04:34:14+00:00,426,194,13204,998,Uruguay,UY,Montevideo,Montevideo,,"-34.83346, -56.16735",1,Woman,Voy a vomitar del cringe basta,negative
18,18,1613343175837614083,Alertan sobre epidemia de diarrea en Florianópolis tras aumento de casos https://t.co/u5B4HiSWPF,2023-01-12T01:12:42+00:00,es,twitter,Montevideo PortNo mNo mNo mNo mNo matchtchtchtchtchl,@portNo mNo mNo mNo matchtchtchtchlmvd,"El primer medio 100% digital de Uruguay. Todo lo que pasa, lo leés con nosotros y sin límites. #SiempreEnMovimiento #ParaTodosTodo",2009-11-05T18:37:33+00:00,617943,795,527366,607,Uruguay,UY,,,,"-33.0, -56.0",0,Org,Alertan sobre epidemia de diarrea en Florianópolis tras aumento de casos URL,negative
19,19,1613343041435090946,El destino elegido por los uruguayos: Florianópolis advierte por epidemia de diarrea •https://t.co/nTg372W7jC• https://t.co/de56FQJtpn,2023-01-12T01:12:10+00:00,es,twitter,EL PAÍS,@elpNo mNo mNo mNo matchtchtchtchisuy,Diario El País de Uruguay. http://elpais.uy/linkenbio,2009-04-15T17:18:57+00:00,834127,669,541454,1959,Uruguay,UY,Montevideo,Montevideo,,"-34.83346, -56.16735",1,Woman,El destino elegido por los uruguayos: Florianópolis advierte por epidemia de diarrea •URL•,negative
20,20,1613321487842164738,@candelariafraga Jqqjjaajaj estaba pensando exactamente en eso recien q senti un olor feo yquiero vomitar,2023-01-11T23:46:31+00:00,es,twitter,ʀᴏchu,@rociomicNo mNo mNo mNo matchtchtchtchrodrig,,2013-04-27T02:10:41+00:00,2461,1510,114415,104967,Uruguay,UY,Montevideo,Montevideo,,"-34.83346, -56.16735",1,Woman,Jqqjjaajaj estaba pensando exactamente en eso recien q senti un olor feo yquiero vomitar,negative
21,21,1613318045870731265,"@Soy_TanYo La mía no es divertida. Vomité 7 veces en forma tan violenta que me hice pis. Me bañé y subí al cuarto.  Volví a vomitar y me debe haber bajado la presión, quedé tirada en la cama sin poder incorporarme. Abajo mi amiga mutaba y ni se enteraba de que yo estaba así de mal.",2023-01-11T23:32:50+00:00,es,twitter,LNo mNo mNo mNo mNo matchtchtchtchtch MiniTNo mNo mNo mNo mNo matchtchtchtchtch,@SosAtreviditNo mNo mNo mNo matchtchtchtch,"Odio los magos, las pelotitas y pelusas de la ropa, y la gente que estornuda o tose sin taparse la boca. Tengo más TOCs pero no quiero impresionarlos.",2011-10-15T14:54:03+00:00,8682,1469,61288,168319,Uruguay,UY,Montevideo,Montevideo,,"-34.83346, -56.16735",1,Woman,"La mía no es divertida. Vomité NUM veces en forma tan violenta que me hice pis. Me bañé y subí al cuarto.  Volví a vomitar y me debe haber bajado la presión, quedé tirada en la cama sin poder incorporarme. Abajo mi amiga mutaba y ni se enteraba de que yo estaba así de mal.",negative
22,22,1613315999909937153,"No doy más con las náuseas y los olores, me estoy pareciendo a una embarazada 🤦🏻‍♀️🔫",2023-01-11T23:24:42+00:00,es,twitter,➳ The Powerpuff Girl 👑❀.,@YuliinumbersnumbersM,☘️🌻🌏💝💄👑👠🦄🐴🌸🌈🎧🛫🎆🎀📚 ➡Enamorada eterna de la Vida🌱❤ 🇺🇾 •Potterhead⚡ •Mi alma baila lo que mi corazón siente🪘,2015-08-11T01:31:25+00:00,308,263,6538,1720,Uruguay,UY,Montevideo,Montevideo,,"-34.83346, -56.16735",2,Man,"No doy más con las náuseas y los olores, me estoy pareciendo a una embarazada  EMOJI ‍♀️ EMOJI ",negative
23,23,1613315601350393856,q embole somatizar lo q me pasa estos días la pasé con el estómago cerrado y con náuseas ni estar triste en paz puede una,2023-01-11T23:23:07+00:00,es,twitter,sNo mNo mNo mNo mNo matchtchtchtchtchm,@summerxsNo mNo mNo mNo matchtchtchtchm,me gusta sentarme al solcito a pensar,2015-02-21T22:32:13+00:00,444,400,5570,18534,Uruguay,UY,,,,"-33.0, -56.0",1,Woman,q embole somatizar lo q me pasa estos días la pasé con el estómago cerrado y con náuseas ni estar triste en paz puede una,negative
24,24,1613314197529726976,Probare café frío? O vomitar en el intento,2023-01-11T23:17:33+00:00,es,twitter,chinNo mNo mNo mNo mNo matchtchtchtchtch🖤,@AguscorreNo mNo mNo mNo matchtchtchtch_numbersnumbers,,2017-12-23T20:54:09+00:00,505,281,12042,3298,Uruguay,UY,Montevideo,Montevideo,,"-34.83346, -56.16735",1,Woman,Probare café frío? O vomitar en el intento,negative
25,25,1613312534911803393,Una compañera de trabajo empezo a vomitar 🤮 imagínate que atrás le seguí yo,2023-01-11T23:10:56+00:00,es,twitter,𝑺𝒆𝒓𝒆𝒏No mNo mNo mNo mNo matchtchtchtchtch,@conde_serenNo mNo mNo mNo matchtchtchtch,,2019-09-25T22:41:17+00:00,835,250,3565,10241,Uruguay,UY,Montevideo,Montevideo,,"-34.83346, -56.16735",1,Woman,Una compañera de trabajo empezo a vomitar  EMOJI  imagínate que atrás le seguí yo,negative
26,26,1613303421188046849,"El destino elegido por los uruguayos: Florianópolis advierte por epidemia de diarrea
https://t.co/zqhq03YSVX",2023-01-11T22:34:43+00:00,es,twitter,Cerro LNo mNo mNo mNo mNo matchtchtchtchtchrgo PortNo mNo mNo mNo mNo matchtchtchtchtchl,@CLPortNo mNo mNo mNo matchtchtchtchl_UY,Noticias,2022-03-05T15:31:51+00:00,104,22,4094,0,Uruguay,UY,Melo,Cerro Largo,,"-32.36667, -54.18333",0,Org,El destino elegido por los uruguayos: Florianópolis advierte por epidemia de diarrea URL,negative
27,27,1613297449359007745,Un aumento de casos de diarrea afecta a Florianópolis y las autoridades sanitarias de Brasil exhortaron a la población y a los turistas a extremar los cuidados. https://t.co/lt7llk9Vkh,2023-01-11T22:11:00+00:00,es,twitter,Telenoche,@TelenocheUy,"Informativos de @Canal4_UY 
Primero estás vos.",2010-10-15T18:08:31+00:00,274442,218,163577,1001,Uruguay,UY,,,,"-33.0, -56.0",0,Org,Un aumento de casos de diarrea afecta a Florianópolis y las autoridades sanitarias de Brasil exhortaron a la población y a los turistas a extremar los cuidados. URL,negative
28,28,1613295546013188097,"@LuBrignoni Según qué tan fuerte: AINE común y silvestre &lt; perifar con codeína &lt; tramadol. Si es con ganas de vomitar voy a que me den inyectable. Siempre para ayudar baño caliente, oscuridad y a mimir. También me pongo Headspace para meditar o soniditos de mar o lluvia.",2023-01-11T22:03:26+00:00,es,twitter,VNo mNo mNo mNo mNo matchtchtchtchtchlentinNo mNo mNo mNo mNo matchtchtchtchtch CNo mNo mNo mNo mNo matchtchtchtchtchrrNo mNo mNo mNo mNo matchtchtchtchtchsco,@VNo mNo mNo mNo matchtchtchtchleficNo mNo mNo mNo matchtchtchtch_numbers,"Uruguayan Biochemist/Microbiologist
PhD Student in Bioinformatics and Systems Biology
Cat lover
Foodie-wannabe",2013-03-07T23:11:42+00:00,94,165,1187,5407,Uruguay,UY,Montevideo,Montevideo,,"-34.83346, -56.16735",1,Woman,"Según qué tan fuerte: aine común y silvestre &lt; perifar con codeína &lt; tramadol. Si es con ganas de vomitar voy a que me den inyectable. Siempre para ayudar baño caliente, oscuridad y a mimir. También me pongo Headspace para meditar o soniditos de mar o lluvia.",negative
29,29,1613287685916971023,Te vomito x2 AJAJAJAA😂,2023-01-11T21:32:12+00:00,es,twitter,✨AriNo mNo mNo mNo mNo matchtchtchtchtch✨,@No mNo mNo mNo matchtchtchtchriNo mNo mNo mNo matchtchtchtch_gNo mNo mNo mNo matchtchtchtchrro,💋 -A,2016-10-31T17:22:04+00:00,28,37,3490,4004,Uruguay,UY,,Canelones,,"-34.64444, -56.28861",2,Man,Te vomito x2 ajajajaa EMOJI ,neutral
30,30,1613287294722625537,"Jajaja chicos, tengo náuseas",2023-01-11T21:30:39+00:00,es,twitter,ѕєℓєηє,@seleniitNo mNo mNo mNo matchtchtchtch_numbers,"❤‍🔥Pra quem tem fe, a vida nunca tem fim!❤‍🔥
Geminiana hasta la médula, por?",2018-09-11T23:50:01+00:00,255,552,4807,15901,Uruguay,UY,,Canelones,,"-34.64444, -56.28861",2,Man,"Jajaja chicos, tengo náuseas",negative
31,31,1613284539098451970,Te vomito,2023-01-11T21:19:42+00:00,es,twitter,✨AriNo mNo mNo mNo mNo matchtchtchtchtch✨,@No mNo mNo mNo matchtchtchtchriNo mNo mNo mNo matchtchtchtch_gNo mNo mNo mNo matchtchtchtchrro,💋 -A,2016-10-31T17:22:04+00:00,28,37,3490,4004,Uruguay,UY,,Canelones,,"-34.64444, -56.28861",2,Man,Te vomito,negative
32,32,1613270540663267364,La epidemia de diarrea en el destino turístico elegido por varios uruguayos llegó a 1.251 casos este martes. •https://t.co/nTg372W7jC•,2023-01-11T20:24:04+00:00,es,twitter,EL PAÍS,@elpNo mNo mNo mNo matchtchtchtchisuy,Diario El País de Uruguay. http://elpais.uy/linkenbio,2009-04-15T17:18:57+00:00,834127,669,541454,1959,Uruguay,UY,Montevideo,Montevideo,,"-34.83346, -56.16735",1,Woman,La epidemia de diarrea en el destino turístico elegido por varios uruguayos llegó a NUM.25NUM casos este martes. •URL•,negative
33,33,1613269532885262363,Alertan sobre epidemia de diarrea en Florianópolis tras aumento de casos https://t.co/u5B4HiSp07,2023-01-11T20:20:04+00:00,es,twitter,Montevideo PortNo mNo mNo mNo mNo matchtchtchtchtchl,@portNo mNo mNo mNo matchtchtchtchlmvd,"El primer medio 100% digital de Uruguay. Todo lo que pasa, lo leés con nosotros y sin límites. #SiempreEnMovimiento #ParaTodosTodo",2009-11-05T18:37:33+00:00,617943,795,527366,607,Uruguay,UY,,,,"-33.0, -56.0",0,Org,Alertan sobre epidemia de diarrea en Florianópolis tras aumento de casos URL,negative
34,34,1613269196409806864,@MercedesVigilUY Federico Leicht ya con eso y usted alcanza pa vomitar,2023-01-11T20:18:44+00:00,es,twitter,bNo mNo mNo mNo mNo matchtchtchtchtchrbNo mNo mNo mNo mNo matchtchtchtchtchtuiter,@bNo mNo mNo mNo matchtchtchtchrbNo mNo mNo mNo matchtchtchtchtuiternumbersnumbers,"Licencia de Entrenador C de Audef.
Bici como forma de vida.
Ayudante de Barista.
Stream y futbol en @sagacap1891
Polifacético.",2013-01-25T14:23:45+00:00,372,500,34666,5671,Uruguay,UY,Montevideo,Montevideo,,"-34.83346, -56.16735",1,Woman,Federico Leicht ya con eso y usted alcanza pa vomitar,negative
35,35,1613260973179129856,El destino elegido por los uruguayos: Florianópolis advierte por epidemia de diarrea https://t.co/ppZk8Nrp2q,2023-01-11T19:46:03+00:00,es,twitter,EL PAÍS,@elpNo mNo mNo mNo matchtchtchtchisuy,Diario El País de Uruguay. http://elpais.uy/linkenbio,2009-04-15T17:18:57+00:00,834127,669,541454,1959,Uruguay,UY,Montevideo,Montevideo,,"-34.83346, -56.16735",1,Woman,El destino elegido por los uruguayos: Florianópolis advierte por epidemia de diarrea URL,negative
36,36,1613255619057688576,"@gorka_orive Hay que aprender a amar ese ejercicio, es el grupo muscular más grande, vas a sufrir, y puede que te dé ganas incluso de vomitar... Puede ser que te cueste caminar, sentarte o ir al baño a las 48hs... Pero tu corazón y todos tus sistemas te lo van a agradecer... Suerte",2023-01-11T19:24:47+00:00,es,twitter,Aɳԃɾéʂ Cαɱρσԃóɳιƈσ,@cNo mNo mNo mNo matchtchtchtchmpodoniconumbersnumbersnumbersnumbers,"Gran Predicador de obviedades.
Inútil con muy buenas referencias.",2015-06-02T04:20:08+00:00,90,602,1359,797,Uruguay,UY,,Canelones,,"-34.64444, -56.28861",1,Woman,"Hay que aprender a amar ese ejercicio, es el grupo muscular más grande, vas a sufrir, y puede que te dé ganas incluso de vomitar. Puede ser que te cueste caminar, sentarte o ir al baño a las 48hs. Pero tu corazón y todos tus sistemas te lo van a agradecer. Suerte",positive
37,37,1613247980357980161,"Hoy me siento super mal firme, las ganas de vomitar, la presión baja, dolor en el cuerpo lpmmmmm😢",2023-01-11T18:54:25+00:00,es,twitter,𝒸𝒽𝒶𝑔𝒶𝓈𝓈𝓈𝓈🫣🫵🏼,@cynthiNo mNo mNo mNo matchtchtchtch_chNo mNo mNo mNo matchtchtchtchgNo mNo mNo mNo matchtchtchtchss,𝟷𝟺.𝟶𝟿.𝟸𝟶𝟸𝟶👑          ,2019-02-17T19:29:19+00:00,487,305,30551,10573,Uruguay,UY,Maldonado,Maldonado,,"-34.9, -54.95",1,Woman,"Hoy me siento super mal firme, las ganas de vomitar, la presión baja, dolor en el cuerpo lpmmmmm EMOJI ",negative
38,38,1613246582505504768,"@VeronicaRF1212 Ahh yo sí, asi después puede vomitar su odio con propiedad..",2023-01-11T18:48:52+00:00,es,twitter,Dυϙυҽ Iɠƚԋσɾɳ 🤘🇳🇱 🇺🇾,@duque_igthorn,"un cordero de mi estilo                                                      
nu ɔoɹpǝɹo pǝ ɯı ǝsʇılo",2014-09-16T18:50:47+00:00,1220,2423,38878,68319,Uruguay,UY,Montevideo,Montevideo,,"-34.83346, -56.16735",1,Woman,"Ahh yo sí, asi después puede vomitar su odio con propiedad.",negative
39,39,1613237943459811328,"@castieldaemon tengo pruebas y 0 dudas que no te gusta el agua porque es sin gas, TE AMO AGUA CON GAS tan rica ibas a ser 
Igual yo tambien me caso eh, el otro dia corri como 1 cuadra un bondi en alta subida y casi le vomito un pulmon al chofer ahre jajaja 

Baloo, perro antiturros",2023-01-11T18:14:32+00:00,es,twitter,AlNo mNo mNo mNo mNo matchtchtchtchtchskNo mNo mNo mNo mNo matchtchtchtchtch,@lysNo mNo mNo mNo matchtchtchtchengel,"23. Ella. Lloro por Lys, Nath, Valk, Leiftan y Aaron. Las verdaderas dueñas de mi corazón son Chani, Floppy y Violeta",2020-07-29T00:17:19+00:00,1318,705,25982,49680,Uruguay,UY,,,,"-33.0, -56.0",1,Woman,"tengo pruebas y NUM dudas que no te gusta el agua porque es sin gas, TE amo agua con gas tan rica ibas a ser  Igual yo tambien me caso eh, el otro dia corri como NUM cuadra un bondi en alta subida y casi le vomito un pulmon al chofer ahre jajaja   Baloo, perro antiturros",negative
40,40,1613230577913585677,"@ladiaria A ver manga de zurdos repitan conmigo; ""DELINCUENTE"" 
la verdad que más que La Diaria, ustedes son La Diarrea.",2023-01-11T17:45:16+00:00,es,twitter,Antonio BNo mNo mNo mNo mNo matchtchtchtchtchnderolNo mNo mNo mNo mNo matchtchtchtchtch,@Tony_BNo mNo mNo mNo matchtchtchtchnderolNo mNo mNo mNo matchtchtchtch,#NoVuelvasAtras,2020-08-01T23:04:01+00:00,1278,1236,12069,59012,Uruguay,UY,Montevideo,Montevideo,,"-34.83346, -56.16735",1,Woman,"A ver manga de zurdos repitan conmigo; ""delincuente""  la verdad que más que La Diaria, ustedes son La Diarrea.",negative
41,41,1613218175214125057,Que ganas de vomitar,2023-01-11T16:55:59+00:00,es,twitter,•No mNo mNo mNo mNo matchtchtchtchtchleme•🩷,@No mNo mNo mNo matchtchtchtchleemeenumbers,veintiuno 🥳✨,2016-09-03T02:56:43+00:00,1580,1015,66990,21769,Uruguay,UY,Paysandú,Paysandú,,"-32.32139, -58.07556",1,Woman,Que ganas de vomitar,negative
42,42,1613213366087991296,Alerta turistas uruguayos: Florianópolis registra epidemia diarreica con más de 1.200 casos en 10 días https://t.co/5V5A8Fn7G4,2023-01-11T16:36:53+00:00,es,twitter,El ObservNo mNo mNo mNo mNo matchtchtchtchtchdor,@ObservNo mNo mNo mNo matchtchtchtchdorUY,Cuenta del sitio uruguayo de noticias online El Observador. Contenido actualizado las 24 hs. Suscribite 👉 https://www.elobservador.com.uy/suscripcion,2009-07-06T16:48:48+00:00,840844,812,427344,3360,Uruguay,UY,Montevideo,Montevideo,,"-34.83346, -56.16735",0,Org,Alerta turistas uruguayos: Florianópolis registra epidemia diarreica con más de NUM.NUM casos en NUM0 días URL,negative
43,43,1613170738147508227,@infogh2022a Es un asco Maxi no m jodan una porquería vomito,2023-01-11T13:47:29+00:00,es,twitter,RosNo mNo mNo mNo mNo matchtchtchtchtchnNo mNo mNo mNo mNo matchtchtchtchtch💕M,@Rochymr,"Me siguen Fran,Romi,Gise,Eloy L,Barby",2011-04-06T18:44:00+00:00,639,845,75012,38908,Uruguay,UY,Mercedes,Soriano,,"-33.2524, -58.03047",1,Woman,Es un asco Maxi no m jodan una porquería vomito,negative
44,44,1613151837443747840,@katmoralez15 estreñimiento?,2023-01-11T12:32:23+00:00,es,twitter,#ozcocinNo mNo mNo mNo mNo matchtchtchtchtch,@ozzNo mNo mNo mNo matchtchtchtchlNo mNo mNo mNo matchtchtchtchcNo mNo mNo mNo matchtchtchtchin,Con amor y alegría la felicidad está a la vuelta de la esquina. La cocina es un arte así como lo es la fotografía. Todos somos artistas si nos lo proponemos.,2017-08-11T17:50:45+00:00,722,296,1787,11321,Uruguay,UY,,Canelones,,"-34.64444, -56.28861",1,Woman,estreñimiento?,neutral
